,name,author_number,total,contribution
0,Shai Ben-David,2,1,0.5
1,Margareta Ackerman,2,1,0.5
2,Markus M Maier,3,1,0.333333333
3,Ulrike Von Luxburg,3,1,0.333333333
4,Matthias Hein,3,1,0.333333333
5,Lavi Shpigelman,3,1,0.333333333
6,Hagai Lalazar,3,1,0.333333333
7,Eilon Vaadia,3,1,0.333333333
8,Gediminas Luksys,3,1,0.333333333
9,Carmen Sandi,3,1,0.333333333
10,Wulfram Gerstner,3,1,0.333333333
11,Michael Todd,3,1,0.333333333
12,Yael Niv,3,1,0.333333333
13,Jonathan D Cohen,3,1,0.333333333
14,Erik Talvitie,2,1,0.5
15,Satinder Singh,2,1,0.5
16,Jens Kober,2,1,0.5
17,Jan R Peters,2,1,0.5
18,Ydo Wexler,2,1,0.5
19,Christopher Meek,2,1,0.5
20,Prateek Jain,4,1,0.25
21,Brian Kulis,4,1,0.25
22,Inderjit S Dhillon,4,1,0.25
23,Kristen Grauman,4,1,0.25
24,Mark J Herbster,3,1,0.333333333
25,Massimiliano Pontil,3,1,0.333333333
26,Sergio Rojas Galeano,3,1,0.333333333
27,Daphna Weinshall,7,1,0.142857143
28,Hynek Hermansky,7,1,0.142857143
29,Alon Zweig,7,1,0.142857143
30,Jie Luo,7,1,0.142857143
31,Holly B Jimison,7,1,0.142857143
32,Frank W Ohl,7,1,0.142857143
33,Misha Pavel,7,1,0.142857143
34,Aarti Singh,3,1,0.333333333
35,Rob Nowak,3,1,0.333333333
36,Xiaojin Zhu,3,1,0.333333333
37,Arno Onken,4,1,0.25
38,Steffen Grünewälder,4,1,0.25
39,Matthias Munk,4,1,0.25
40,Klaus H Obermayer,4,1,0.25
41,Roger Levy,3,1,0.333333333
42,Florencia Reali,3,1,0.333333333
43,Thomas Griffiths,3,1,0.333333333
44,Benjamin Schrauwen,3,1,0.333333333
45,Lars Buesing,3,1,0.333333333
46,Robert Legenstein,3,1,0.333333333
47,Ijaz Akhter,4,1,0.25
48,Yaser Sheikh,4,1,0.25
49,Sohaib Khan,4,1,0.25
50,Takeo Kanade,4,1,0.25
51,Alan L Yuille,3,1,0.333333333
52,Shuang Wu,3,1,0.333333333
53,HongJing Lu,3,1,0.333333333
54,Kenji Fukumizu,4,1,0.25
55,Bharath Sriperumbudur,4,1,0.25
56,Arthur Gretton,4,1,0.25
57,Bernhard Schölkopf,4,1,0.25
58,Tong Zhang,1,1,1
59,Peter Carbonetto,3,1,0.333333333
60,Mark Schmidt,3,1,0.333333333
61,Nando de Freitas,3,1,0.333333333
62,Tao Qin,5,1,0.2
63,Tie-Yan Liu,5,1,0.2
64,Xu-Dong Zhang,5,1,0.2
65,De-Sheng Wang,5,1,0.2
66,Hang Li,5,1,0.2
67,Srikanth Jagabathula,2,1,0.5
68,Devavrat Shah,2,1,0.5
69,Dan M Roy,2,1,0.5
70,Yee Whye Teh,2,1,0.5
71,Erik B Sudderth,2,1,0.5
72,Michael I Jordan,2,1,0.5
73,Geremy Heitz,4,1,0.25
74,Stephen Gould,4,1,0.25
75,Ashutosh Saxena,4,1,0.25
76,Daphne Koller,4,1,0.25
77,Sudheendra N Vijayanarasimhan,2,1,0.5
78,Kristen Grauman,2,1,0.5
79,Siwei Lyu,2,1,0.5
80,Eero P Simoncelli,2,1,0.5
81,Peter Dayan,1,1,1
